STATION,AM_ENTERS,AM_EXITS
104 ST,1539.0,35.0
121 ST,1251.0,253.0
75 ST-ELDERTS,3857.0,295.0
BOWERY,354.0,1023.0
BROAD ST,841.0,2089.0
BROADWAY JCT,5493.0,2685.0
CANAL ST,5204.0,12597.0
CHAMBERS ST,1837.0,7698.0
CHAUNCEY ST,3605.0,410.0
CRESCENT ST,8213.0,1198.0
DELANCEY/ESSEX,11395.0,10759.0
FULTON ST,21552.0,34497.0
GATES AV,7030.0,813.0
JAMAICA CENTER,33067.0,5697.0
MARCY AV,7384.0,3127.0
MYRTLE AV,10574.0,1876.0
NORWOOD AV,5637.0,987.0
SUTPHIN-ARCHER,22381.0,9521.0
VAN SICLEN AV,4576.0,786.0
WOODHAVEN BLVD,3887.0,579.0
